Genome1	Gen1	Start1	End1	Genome2	Gen2	Start2	End2	Info
1	At1g01580	209395	212810	1	At1g01590	214229	217304	6.6e-234
1	At1g01660	242608	240057	1	At1g01670	245163	242943	1.4e-57
1	At1g01670	245163	242943	1	At1g01680	248329	246411	2.1e-59
1	At1g02190	415154	417796	1	At1g02205	418818	422154	1.1e-192
1	At1g01010	3760	5630	1	At1g02230	436775	433031	1.3e-45
1	At1g02220	430567	428902	1	At1g02230	436775	433031	4.0e-91
1	At1g02230	436775	433031	1	At1g02250	439559	437951	1.4e-86
1	At1g02300	453288	455376	1	At1g02305	455816	457974	7.1e-171
1	At1g02150	408779	410433	1	At1g02370	474516	476383	2.9e-66
1	At1g01610	224255	221950	1	At1g02390	480921	483163	2.4e-87
1	At1g02430	495963	495175	1	At1g02440	497479	496586	2.2e-75
1	At1g02470	513573	511916	1	At1g02475	515331	514110	1.2e-51
1	At1g02520	524134	528745	1	At1g02530	529836	534542	0.
1	At1g02813	620773	621222	1	At1g02816	621637	622137	1.5e-30
1	At1g02920	659705	658886	1	At1g02930	662191	661363	1.6e-95
1	At1g02940	664128	663079	1	At1g02950	666420	665308	1.8e-75
1	At1g02960	669773	667002	1	At1g02965	672814	671661	1.5e-15
1	At1g03220	787143	788444	1	At1g03230	790110	791414	1.2e-200
1	At1g03200	780755	781124	1	At1g03240	792838	792418	4.4e-15
1	At1g03400	844157	842894	1	At1g03410	846462	844781	7.3e-141
1	At1g03660	911758	911435	1	At1g03670	916221	914221	8.1e-14
1	At1g03880	985785	987915	1	At1g03890	989249	990907	5.1e-101
1	At1g01120	58978	57392	1	At1g04220	1122482	1119852	1.1e-160
1	At1g04350	1165295	1166537	1	At1g04380	1178383	1177141	1.4e-121
1	At1g03930	1005438	1008117	1	At1g04440	1202814	1205663	2.7e-157
1	At1g04100	1059808	1061025	1	At1g04550	1240581	1241809	1.4e-32
1	At1g02590	552761	552138	1	At1g04580	1257509	1252211	6.5e-21
1	At1g04160	1086494	1096145	1	At1g04600	1262122	1272375	0.
1	At1g04180	1104622	1105987	1	At1g04610	1279523	1281330	2.8e-155
1	At1g04420	1191633	1193698	1	At1g04690	1313661	1315419	2.1e-22
1	At1g04750	1333425	1331856	1	At1g04760	1334759	1336069	1.4e-96
1	At1g03050	707726	709860	1	At1g05020	1437344	1435383	2.3e-70
1	At1g02670	576046	580299	1	At1g05120	1476066	1471623	2.0e-204
1	At1g05210	1510468	1511484	1	At1g05220	1511942	1512655	5.9e-52
1	At1g05240	1521201	1522446	1	At1g05250	1527168	1525923	3.0e-158
1	At1g05250	1527168	1525923	1	At1g05260	1529826	1531270	9.7e-75
1	At1g01350	136732	139568	1	At1g05400	1584341	1585243	2.2e-26
1	At1g05540	1639347	1640706	1	At1g05550	1643747	1641228	2.9e-71
1	At1g05530	1637862	1636495	1	At1g05560	1647082	1645673	4.9e-190
1	At1g05650	1692125	1690263	1	At1g05660	1696057	1694285	1.8e-192
1	At1g02060	363050	360918	1	At1g05670	1702714	1698573	3.8e-52
1	At1g05670	1702714	1698573	1	At1g05680	1704638	1703195	1.2e-202
1	At1g05730	1719106	1720158	1	At1g05740	1720673	1721308	2.3e-41
1	At1g05760	1724439	1723796	1	At1g05770	1726249	1725546	5.9e-52
1	At1g01650	238860	233188	1	At1g05820	1749775	1753766	1.1e-78
1	At1g02360	473116	472138	1	At1g05850	1768116	1766832	8.2e-46
1	At1g05880	1775513	1778329	1	At1g05890	1779630	1784165	6.7e-67
1	At1g06020	1824547	1826100	1	At1g06030	1826879	1828129	1.6e-159
1	At1g06090	1847920	1849499	1	At1g06120	1855962	1857515	6.9e-152
1	At1g06290	1922422	1926001	1	At1g06310	1926801	1930226	0.
1	At1g06090	1847920	1849499	1	At1g06350	1936788	1935509	3.9e-126
1	At1g06100	1851529	1853018	1	At1g06360	1940416	1939172	2.1e-127
1	At1g06350	1936788	1935509	1	At1g06360	1940416	1939172	9.6e-139
1	At1g01610	224255	221950	1	At1g06520	1996066	1994169	4.7e-98
1	At1g02390	480921	483163	1	At1g06520	1996066	1994169	6.4e-110
1	At1g03410	846462	844781	1	At1g06620	2025617	2027093	1.6e-129
1	At1g06620	2025617	2027093	1	At1g06640	2032365	2033774	9.6e-123
1	At1g06640	2032365	2033774	1	At1g06650	2035908	2037185	2.8e-171
1	At1g06020	1824547	1826100	1	At1g06730	2067632	2070048	4.3e-12
1	At1g04280	1146230	1143642	1	At1g06750	2074029	2076349	1.5e-149
1	At1g05800	1741203	1742618	1	At1g06800	2091442	2089537	2.9e-74
1	At1g06250	1914849	1913338	1	At1g06800	2091442	2089537	2.0e-65
1	At1g05400	1584341	1585243	1	At1g06810	2092527	2091920	3.3e-42
1	At1g06070	1837115	1835200	1	At1g06850	2105232	2106517	7.6e-43
1	At1g01350	136732	139568	1	At1g06925	2128610	2127703	4.5e-14
1	At1g07025	2158157	2157657	1	At1g07030	2160523	2158630	3.8e-46
1	At1g07240	2223888	2225330	1	At1g07250	2225962	2227401	1.1e-142
1	At1g07250	2225962	2227401	1	At1g07260	2229177	2227747	1.6e-166
1	At1g07473	2295102	2294725	1	At1g07476	2295931	2296350	1.6e-40
1	At1g07470	2291720	2294347	1	At1g07480	2299212	2296703	3.0e-158
1	At1g07520	2311802	2309715	1	At1g07530	2316134	2313825	2.2e-141
1	At1g07550	2326509	2322706	1	At1g07560	2327317	2331093	2.3e-256
1	At1g05640	1689500	1687435	1	At1g07710	2387983	2386272	1.2e-131
1	At1g01120	58978	57392	1	At1g07720	2392403	2390967	4.2e-90
1	At1g03880	985785	987915	1	At1g07750	2405860	2404297	8.3e-22
1	At1g07670	2373335	2370302	1	At1g07810	2416678	2420569	0.
1	At1g07660	2369209	2369520	1	At1g07820	2421743	2421432	1.5e-39
1	At1g01570	205176	207435	1	At1g07850	2426742	2428537	4.9e-114
1	At1g05280	1537413	1535443	1	At1g07850	2426742	2428537	2.8e-88
1	At1g01560	202345	203662	1	At1g07880	2435709	2434703	2.2e-100
1	At1g07920	2455556	2456998	1	At1g07930	2459011	2460455	2.4e-236
1	At1g07930	2459011	2460455	1	At1g07940	2464789	2463347	2.4e-236
1	At1g08000	2484561	2483457	1	At1g08010	2487399	2486199	1.9e-126
1	At1g08065	2513149	2511785	1	At1g08080	2518543	2517019	5.8e-77
1	At1g08090	2524136	2525917	1	At1g08100	2529075	2527265	1.8e-240
1	At1g08135	2551470	2548816	1	At1g08140	2555071	2552203	1.0e-182
1	At1g08140	2555071	2552203	1	At1g08150	2559071	2556340	1.5e-188
1	At1g07790	2413046	2413492	1	At1g08170	2563669	2562938	2.6e-30
1	At1g05840	1766149	1762842	1	At1g08210	2580578	2577116	1.1e-66
1	At1g03445	859748	854900	1	At1g08420	2649956	2656561	1.2e-177
1	At1g08430	2658797	2661026	1	At1g08440	2663024	2665340	5.8e-187
1	At1g03750	937919	941067	1	At1g08600	2724565	2733434	2.2e-40
1	At1g04160	1086494	1096145	1	At1g08730	2779966	2788328	0.
1	At1g04260	1141296	1140748	1	At1g08770	2808936	2809565	7.1e-24
1	At1g08890	2848377	2852019	1	At1g08920	2867449	2870363	2.3e-112
1	At1g08920	2867449	2870363	1	At1g08930	2873607	2876982	7.4e-164
1	At1g09040	2912365	2915177	1	At1g09050	2918034	2920861	0.
1	At1g02840	626918	629583	1	At1g09140	2945820	2942889	8.3e-69
1	At1g02620	557092	557668	1	At1g09180	2965149	2965943	7.2e-47
1	At1g01370	143773	145400	1	At1g09200	2972134	2971724	5.1e-21
